case,fault_id,variant,run,complete_rate,dispatch_upper_bound_ns,planner_path_upper_bound_ns,post_server_elapsed_ns,pre_server_elapsed_ns,request_response_elapsed_ns,server_processing_elapsed_ns,zero_work_callback_elapsed_ns
001_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r01,F3,control,1,0.9439890710382514,549533.0,1339383.0,,,,,210124.0
002_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r01,F3,injected,1,0.5074404761904762,331517.0,640401.0,,,,,70334.0
003_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r01,F4,control,1,1.0,,,375445.0,468405.5,878082.0,11663.0,
004_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r01,F4,injected,1,1.0,,,532230.5,468230.5,101269404.0,100245649.5,
005_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r02,F3,injected,2,0.49782923299565845,267674.5,506330.5,,,,,60857.0
006_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r02,F4,control,2,1.0,,,353286.0,504766.0,881164.0,6134.5,
007_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r02,F4,injected,2,1.0,,,537768.0,477395.0,101228396.5,100238652.5,
008_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r02,F3,control,2,0.938858695652174,527555.0,1306111.0,,,,,200949.0
009_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r03,F4,control,3,1.0,,,364475.0,500870.0,866938.5,5595.5,
010_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r03,F4,injected,3,0.9743589743589743,,,504043.5,536971.0,101204866.5,100188800.0,
011_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r03,F3,control,3,0.9673469387755103,523252.0,1302069.0,,,,,196238.0
012_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r03,F3,injected,3,0.47832369942196534,297568.0,613653.0,,,,,69489.0
013_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r04,F4,injected,4,1.0,,,555373.5,552342.5,101211828.0,100097306.0,
014_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r04,F3,control,4,0.9489655172413793,541257.5,1339202.5,,,,,206536.5
015_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r04,F3,injected,4,0.5029940119760479,363466.5,690600.0,,,,,72428.5
016_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r04,F4,control,4,1.0,,,332303.0,540200.0,880935.0,10427.5,
017_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r05,F3,control,5,0.9498644986449865,553473.0,1331881.0,,,,,211034.0
018_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r05,F3,injected,5,0.9236311239193083,248893.0,475325.0,,,,,60210.0
019_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r05,F4,control,5,0.9743589743589743,,,356166.0,518040.5,916145.0,10506.0,
020_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r05,F4,injected,5,1.0,,,540353.5,484327.0,101251404.5,100201253.0,
021_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r06,F3,injected,6,0.4964336661911555,266700.5,498197.5,,,,,61006.0
022_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r06,F4,control,6,1.0,,,335333.0,533688.5,900483.5,6118.5,
023_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r06,F4,injected,6,1.0,,,516488.5,517093.5,101244001.5,100212777.0,
024_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r06,F3,control,6,0.9710743801652892,511222.0,1274481.0,,,,,188389.0
025_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r07,F4,control,7,1.0,,,344065.0,550598.5,872848.0,5920.5,
026_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r07,F4,injected,7,1.0,,,564810.5,513961.0,101200802.0,100088246.5,
027_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r07,F3,control,7,0.9508867667121419,527234.0,1290027.0,,,,,194383.0
028_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r07,F3,injected,7,0.9336219336219336,271091.0,491460.0,,,,,58708.0
029_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_injected_r08,F4,injected,8,1.0,,,515487.5,503291.0,101205758.5,100202351.0,
030_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r08,F3,control,8,0.9510869565217391,492647.0,1186292.5,,,,,177312.5
031_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r08,F3,injected,8,0.513235294117647,263009.0,519305.0,,,,,62902.0
032_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r08,F4,control,8,1.0,,,308518.0,511082.5,849788.0,12172.5,
033_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r09,F3,control,9,0.9473684210526315,451592.5,1154718.5,,,,,176760.0
034_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r09,F3,injected,9,0.9414285714285714,203748.0,422381.0,,,,,51691.0
035_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f4_control_r09,F4,control,9,1.0,,,359109.0,488291.0,863906.0,10973.0,
