case,variant,planner_tid,target_cpu,capture_duration_s,wakeups,matched_wakeup_switch,match_rate,median_ns,p95_ns,p99_ns
001_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r01,control,132334,23,5.625,732,732,1.0,58590.5,250458.7999999998,348852.3399999995
002_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r01,injected,132961,23,2.212,208,208,1.0,65988.0,240624.3,430992.98
005_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r02,injected,135368,23,2.202,208,208,1.0,14085.0,146166.84999999974,241168.34000000008
008_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r02,control,138395,23,5.831,788,788,1.0,61553.5,230372.79999999993,336499.99
011_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r03,control,138985,23,5.838,838,838,1.0,62728.5,240807.3,306529.68999999994
012_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r03,injected,141410,23,2.21,212,212,1.0,23148.0,211524.25,498932.8999999989
014_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r04,control,142170,23,5.632,761,761,1.0,59841.0,237799.0,329952.79999999993
015_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r04,injected,142455,23,2.005,191,191,1.0,59183.0,296308.5,608374.6999999979
017_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r05,control,143340,23,5.832,741,740,0.9986504723346828,53679.5,228679.04999999996,320184.54000000015
018_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r05,injected,144750,23,2.29,215,215,1.0,16878.0,258327.19999999972,560414.2199999997
021_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r06,injected,145090,23,2.212,207,207,1.0,6527.0,161133.19999999995,313951.95999999985
024_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r06,control,145458,23,5.828,793,793,1.0,57618.0,220400.59999999998,305832.92000000057
027_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r07,control,145830,23,5.832,823,823,1.0,64206.0,224840.09999999998,303079.9399999999
028_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r07,injected,145973,23,2.295,214,214,1.0,17010.0,165185.5,378995.83000000013
030_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r08,control,146234,23,5.839,753,753,1.0,53666.0,223603.59999999986,306242.5200000001
031_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r08,injected,146378,23,2.197,205,205,1.0,8633.0,176694.59999999966,351503.4400000002
033_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r09,control,146625,23,5.841,811,811,1.0,55092.0,169477.0,210160.99999999994
034_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r09,injected,146786,23,5.439,544,544,1.0,5299.5,114802.75,261341.4300000001
037_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_injected_r10,injected,147108,23,5.432,541,541,1.0,5261.0,116369.0,192110.20000000033
040_native_x86_2404_jazzy_f3f4_20260729_070205_diagnosis_f3_control_r10,control,147429,23,6.054,931,931,1.0,57048.0,171426.0,214080.3000000001
