scenario,policy,test_run_count,test_runs,mean_group_count,mean_reference_trace_count,pooled_reference_trace_count,mean_precision,bootstrap95_low_precision,bootstrap95_high_precision,mean_recall,bootstrap95_low_recall,bootstrap95_high_recall,mean_f1,bootstrap95_low_f1,bootstrap95_high_f1,mean_false_admission_rate,bootstrap95_low_false_admission_rate,bootstrap95_high_false_admission_rate,mean_mixed_chain_rate,bootstrap95_low_mixed_chain_rate,bootstrap95_high_mixed_chain_rate,mean_reject_rate,bootstrap95_low_reject_rate,bootstrap95_high_reject_rate,mean_incomplete_rate,bootstrap95_low_incomplete_rate,bootstrap95_high_incomplete_rate,mean_valid_path_coverage,bootstrap95_low_valid_path_coverage,bootstrap95_high_valid_path_coverage,mean_unassigned_event_rate,bootstrap95_low_unassigned_event_rate,bootstrap95_high_unassigned_event_rate,mean_duplicate_group_rate,bootstrap95_low_duplicate_group_rate,bootstrap95_high_duplicate_group_rate,mean_topology_violation_rate,bootstrap95_low_topology_violation_rate,bootstrap95_high_topology_violation_rate
overlap_dual_10hz,timestamp_only,5,run_06;run_07;run_08;run_09;run_10,1204.8,1204.8,6024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07968198219704799,0.0579981026398847,0.11286111162545409,0.07968198219704799,0.0579981026398847,0.11286111162545409,0.0,0.0,0.0,0.019231859081520454,0.011715174505047938,0.02845994990183806,0.0,0.0,0.0,0.9509895302071264,0.9254919308172056,0.9661487603305785
overlap_dual_10hz,sequence_only,5,run_06;run_07;run_08;run_09;run_10,602.4,1204.8,6024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013019996142223365,0.0,0.0032437471870378704,0.0013019996142223365,0.0,0.0032437471870378704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
overlap_dual_10hz,source_sequence,5,run_06;run_07;run_08;run_09;run_10,1204.8,1204.8,6024,1.0,1.0,1.0,0.9771750894812566,0.9593838702072484,0.9882088639836984,0.9883747457478597,0.9793412467027627,0.9940663919877648,0.0,0.0,0.0,0.0,0.0,0.0,0.022824910518743337,0.012033356301869245,0.040616129792751664,0.022824910518743337,0.011814116714778966,0.04025524825005194,0.9771750894812566,0.9593838702072484,0.988185883285221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_dual_10hz,trace_id,5,run_06;run_07;run_08;run_09;run_10,1204.8,1204.8,6024,1.0,1.0,1.0,0.9771750894812566,0.9593838702072484,0.9882088639836984,0.9883747457478597,0.9791576190044168,0.9940574710444284,0.0,0.0,0.0,0.0,0.0,0.0,0.022824910518743337,0.011791136016301579,0.04025524825005194,0.022824910518743337,0.011791136016301579,0.04025524825005194,0.9771750894812566,0.9593838702072484,0.9882088639836984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_dual_10hz,trace_id_contract,5,run_06;run_07;run_08;run_09;run_10,1204.8,1204.8,6024,1.0,1.0,1.0,0.9771750894812566,0.9593838702072484,0.9879666436981308,0.9883747457478597,0.9793412467027627,0.9939451517237314,0.0,0.0,0.0,0.0,0.0,0.0,0.022824910518743337,0.011791136016301579,0.040616129792751664,0.022824910518743337,0.012033356301869245,0.0402642702886193,0.9771750894812566,0.9593838702072484,0.988185883285221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_dual_mixed,timestamp_only,5,run_06;run_07;run_08;run_09;run_10,1035.6,1035.6,5178,0.00029895366218236175,0.0,0.0008968609865470852,0.0001998001998001998,0.0,0.0005994005994005994,0.00023952095808383233,0.0,0.000718562874251497,0.9997010463378176,0.9991031390134528,1.0,0.9997010463378176,0.9991031390134528,1.0,0.29265840776992225,0.28010043094232334,0.31249572220465993,0.29265840776992225,0.27996752873492464,0.31249904475984486,0.0001998001998001998,0.0,0.0005994005994005994,0.16474546610869514,0.1597232614009813,0.17268708144131567,0.0,0.0,0.0,0.7069423902356614,0.6867719749885408,0.7198330694704592
overlap_dual_mixed,sequence_only,5,run_06;run_07;run_08;run_09;run_10,669.6,1035.6,5178,0.45349598957181214,0.4501769094043772,0.45719658119658124,0.29324790342072127,0.2904746229270535,0.29634785104398365,0.3561771085411854,0.35310762761781506,0.35945105467908406,0.5465040104281879,0.5428034188034189,0.5498230905956227,0.5465040104281879,0.5428034188034189,0.5498230905956227,0.0,0.0,0.0,0.0,0.0,0.0,0.29324790342072127,0.2904746229270535,0.2962090409549138,0.0,0.0,0.0,0.5465040104281879,0.5429696106362774,0.5499892824284813,0.0,0.0,0.0
overlap_dual_mixed,source_sequence,5,run_06;run_07;run_08;run_09;run_10,1035.6,1035.6,5178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_dual_mixed,trace_id,5,run_06;run_07;run_08;run_09;run_10,1035.6,1035.6,5178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
overlap_dual_mixed,trace_id_contract,5,run_06;run_07;run_08;run_09;run_10,1035.6,1035.6,5178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
