validator,fault_type,fault_rate,repeat_count,mean_trace_count,mean_corrupted_trace_count,mean_precision,mean_recall,mean_f1,mean_false_acceptance_rate,mean_false_positive_rate
cardinality,drop,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
cardinality,drop,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
cardinality,drop,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
cardinality,duplicate,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
cardinality,duplicate,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
cardinality,duplicate,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
cardinality,sequence_conflict,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
cardinality,sequence_conflict,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
cardinality,sequence_conflict,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
cardinality,timestamp_inversion,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
cardinality,timestamp_inversion,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
cardinality,timestamp_inversion,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
cardinality_order,drop,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
cardinality_order,drop,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
cardinality_order,drop,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
cardinality_order,duplicate,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
cardinality_order,duplicate,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
cardinality_order,duplicate,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
cardinality_order,sequence_conflict,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
cardinality_order,sequence_conflict,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
cardinality_order,sequence_conflict,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
cardinality_order,timestamp_inversion,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
cardinality_order,timestamp_inversion,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
cardinality_order,timestamp_inversion,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
full_topology,drop,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
full_topology,drop,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
full_topology,drop,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
full_topology,duplicate,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
full_topology,duplicate,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
full_topology,duplicate,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
full_topology,sequence_conflict,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
full_topology,sequence_conflict,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
full_topology,sequence_conflict,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
full_topology,timestamp_inversion,0.01,100,1106.3,11.2,1.0,1.0,1.0,0.0,0.0
full_topology,timestamp_inversion,0.05,100,1106.3,55.3,1.0,1.0,1.0,0.0,0.0
full_topology,timestamp_inversion,0.1,100,1106.3,110.5,1.0,1.0,1.0,0.0,0.0
grouping_only,drop,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
grouping_only,drop,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
grouping_only,drop,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
grouping_only,duplicate,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
grouping_only,duplicate,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
grouping_only,duplicate,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
grouping_only,sequence_conflict,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
grouping_only,sequence_conflict,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
grouping_only,sequence_conflict,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
grouping_only,timestamp_inversion,0.01,100,1106.3,11.2,0.0,0.0,0.0,1.0,0.0
grouping_only,timestamp_inversion,0.05,100,1106.3,55.3,0.0,0.0,0.0,1.0,0.0
grouping_only,timestamp_inversion,0.1,100,1106.3,110.5,0.0,0.0,0.0,1.0,0.0
