scenario,run_id,role,event_path,manifest_path,event_sha256,manifest_sha256,public_projection_sha256,event_count
overlap_dual_10hz,run_01,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_01\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_01\manifest.json,abee7f52e8b70e4b689b53c4abb8f12bb8206d7dd4cd1296a304b90a3ac04dae,630a7c1681ab1278c55f2e82855709140e1dbf77c85797786bc4f9c4f1fd5d86,f593830b697e1f80cfddc35613fbf783102a796c2582c405eec2beccf820568a,12508
overlap_dual_10hz,run_02,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_02\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_02\manifest.json,81ef02fec9c42fedcd59c4edbfe0b712b70b462707b01ea12bd10d9aa55a73a7,da4a612e3a9d754dd8b86b600dccb954b1dcd1e9a59ff74ee04fb9f94c05c9e5,410256a5c51daf4bb703ab044695c758e3a8d24952496cf6bf61fcb2d67f0f22,11907
overlap_dual_10hz,run_03,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_03\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_03\manifest.json,0eeb7beca758e985422a8bd26b818410b51ce258f3c2a62f66f97532d1805e2c,e55fcc06d8f5345653d6f0bcda12306e4c74477d511f70668e0aecbfa82958a7,2a08c630a62202a77974531c5d055ddcefbd10fae2e16708f5c8dd5bddd2d741,12198
overlap_dual_10hz,run_04,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_04\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_04\manifest.json,0ae13df679582ecb96c4511caa6100a0c3abc325c9f1f740b72fe3141728d241,903b5f84c7dc5c384be314c17042124706815f5fc1b2e4ab5df9c4a12f65423f,01742f1732a44e7b7c8c1a1d8a93c33206128de975f815762f95882a96a71084,12545
overlap_dual_10hz,run_05,calibration,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_05\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_05\manifest.json,5c14c69ad8d060bc86e1586c989c9da854fff35a6eac4c5a81c86814405e226b,421212921121656cc9c584b06f9b52d96b176e1a6025dff3e788f2b4deea0612,ad349c61da607b81fdcf0a4208ad41c617aa267856c5b550853b7588036fa369,12529
overlap_dual_10hz,run_06,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_06\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_06\manifest.json,0a5499b83fe494bd242fd577d097da98af3e2bd0d72abc071a3b3d6124bab04a,c11a6c61442d944806957771137603569897aab5e9ac6a218e0da6bf4e4282f0,dde0351d5614f2bd2725250d266224061f8745bb8f8f01059303d7ba2e80cd71,12223
overlap_dual_10hz,run_07,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_07\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_07\manifest.json,c9f9104f630510d32bffb89f58e3f80723b31c1357e8a18ad1cacd94c60efb88,e9728067cbe39e2f5bccb9019984f7a186544f8feb1b090814c70104f4649be9,cd268181b879ee10ac23284678755a829ee2bbf0e9b0ba456aae125553832147,12303
overlap_dual_10hz,run_08,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_08\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_08\manifest.json,bb61f5e9519be5cb8aab1981f7bd39b708ce0f22f40340134bdffa4257beda9b,34b8d013175fbd06fbb2bd951e48141ab0c8d64fee5f811100dc23293832c379,a6c459a5eb1cf5f7f20b09744bed72fe05226a90817b4c894d4d2060e71d77be,12393
overlap_dual_10hz,run_09,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_09\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_09\manifest.json,688e22222dd1b0097251732cfbe3d94ec9fa98988a10b5fd5df73f6ca3bca834,1f993fcb85fdaf6ec197ffa46048692a84b79c510b9975ca0d7d6bf1f31a290b,6a5d9b3e52407d1bb98f35b957d8ca2c70fce56b0e868d3ba0e13a8bf2a773b2,12565
overlap_dual_10hz,run_10,test,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_10\runtime_events.measurement.jsonl,ROS2Probe\ai_robotics_runtime_ws\reports\paper_formal_20260712\overlap_dual_10hz\run_10\manifest.json,c3c1981323888257b9c12f093d51c2fdf87def3568e29196d373513bcdd9d6a0,4b8c5b5990f938cd017e4a4df17c43b79404b5ae0f1994540c9c30c105bd919f,506f60e43a920be46b5b411daa9dc903650529d484e87b07a0138056f6398811,12541
