workload,mode,run_id,duration_s,mean_cpu_percent,peak_rss_mb,can_send_count,can_send_rate_hz,trace_count,valid_trace_rate,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,git_dirty
nominal_5hz,disabled,run_01,60.0,2.094017,164.121094,281,4.683333,,,,,,true
nominal_5hz,disabled,run_02,60.0,2.16,163.761719,302,5.033333,,,,,,true
nominal_5hz,disabled,run_03,60.0,1.955833,164.164062,302,5.033333,,,,,,true
nominal_5hz,disabled,run_04,60.0,2.051667,164.035156,302,5.033333,,,,,,true
nominal_5hz,disabled,run_05,60.0,2.019167,164.164062,302,5.033333,,,,,,true
nominal_5hz,disabled,run_06,60.0,1.915385,164.167969,286,4.766667,,,,,,true
nominal_5hz,disabled,run_07,60.0,1.926667,164.144531,301,5.016667,,,,,,true
nominal_5hz,disabled,run_08,60.0,2.341176,163.789062,285,4.75,,,,,,true
nominal_5hz,disabled,run_09,60.0,2.073333,163.90625,302,5.033333,,,,,,true
nominal_5hz,disabled,run_10,60.0,2.021739,164.035156,277,4.616667,,,,,,true
nominal_5hz,buffered,run_01,60.0,3.080508,188.40625,278,4.633333,278,1.0,60.94482,61.523178,62.019656,true
nominal_5hz,buffered,run_02,60.0,3.452991,188.101562,279,4.65,278,1.0,60.934145,61.566387,61.925663,true
nominal_5hz,buffered,run_03,60.0,4.441176,187.839844,295,4.916667,294,1.0,56.842066,61.345909,61.803343,true
nominal_5hz,buffered,run_04,60.0,3.600833,187.984375,302,5.033333,302,1.0,56.683454,57.086322,57.511072,true
nominal_5hz,buffered,run_05,60.0,3.498333,188.078125,302,5.033333,302,1.0,56.67436,57.089201,57.549874,true
nominal_5hz,buffered,run_06,60.0,3.269167,187.933594,302,5.033333,301,1.0,56.70308,57.011961,57.462921,true
nominal_5hz,buffered,run_07,60.0,3.329167,188.355469,302,5.033333,302,1.0,56.672742,57.159509,57.633426,true
nominal_5hz,buffered,run_08,60.0,3.5675,188.304688,301,5.016667,300,1.0,56.848749,58.34914,60.975367,true
nominal_5hz,buffered,run_09,60.0,3.712605,188.203125,279,4.65,279,1.0,60.979231,61.920797,64.343381,true
nominal_5hz,buffered,run_10,60.0,3.275833,188.339844,307,5.116667,307,1.0,56.617908,57.180022,60.772155,true
nominal_5hz,flush,run_01,60.0,3.260833,188.226562,302,5.033333,301,1.0,56.596956,57.053746,57.440247,true
nominal_5hz,flush,run_02,60.0,3.220833,188.378906,302,5.033333,301,1.0,56.632051,57.094971,57.576268,true
nominal_5hz,flush,run_03,60.0,3.243333,188.28125,302,5.033333,301,1.0,56.63406,57.14529,57.466522,true
nominal_5hz,flush,run_04,60.0,3.256667,188.34375,302,5.033333,301,1.0,56.672705,57.138355,57.478589,true
nominal_5hz,flush,run_05,60.0,3.576471,188.132812,302,5.033333,302,1.0,56.689639,60.998626,61.396069,true
nominal_5hz,flush,run_06,60.0,3.301667,188.152344,301,5.016667,301,1.0,56.592606,56.917439,57.172888,true
nominal_5hz,flush,run_07,60.0,2.935833,188.21875,303,5.05,302,1.0,56.612933,58.348963,58.700785,true
nominal_5hz,flush,run_08,60.0,3.1475,188.015625,302,5.033333,301,1.0,56.631309,56.992599,57.858836,true
nominal_5hz,flush,run_09,60.0,3.338333,188.117188,302,5.033333,303,1.0,56.738984,58.012931,61.023538,true
nominal_5hz,flush,run_10,60.0,3.165,187.910156,302,5.033333,301,1.0,56.612743,56.953139,58.221299,true
stress_20hz,disabled,run_01,60.0,4.224138,164.25,1145,19.083333,,,,,,true
stress_20hz,disabled,run_02,60.0,4.073333,164.136719,1251,20.85,,,,,,true
stress_20hz,disabled,run_03,60.0,4.068908,164.144531,1157,19.283333,,,,,,true
stress_20hz,disabled,run_04,60.0,4.030508,164.59375,1168,19.466667,,,,,,true
stress_20hz,disabled,run_05,60.0,4.013333,164.058594,1204,20.066667,,,,,,true
stress_20hz,disabled,run_06,60.0,4.05,164.46875,1159,19.316667,,,,,,true
stress_20hz,disabled,run_07,60.0,4.141176,164.230469,1116,18.6,,,,,,true
stress_20hz,disabled,run_08,60.0,4.075833,164.261719,1213,20.216667,,,,,,true
