workload,mode,metric,n_runs,median,ci95_low,ci95_high,relative_to_disabled_percent
nominal_5hz,disabled,mean_cpu_percent,10,2.036703,1.955833,2.116667,0.000000
nominal_5hz,disabled,peak_rss_mb,10,164.078125,163.906250,164.164062,0.000000
nominal_5hz,disabled,can_send_rate_hz,10,5.025000,4.725000,5.033333,0.000000
nominal_5hz,buffered,mean_cpu_percent,10,3.475662,3.275833,3.640052,70.651391
nominal_5hz,buffered,peak_rss_mb,10,188.152344,187.984375,188.339844,14.672412
nominal_5hz,buffered,can_send_rate_hz,10,5.025000,4.650000,5.033333,0.000000
nominal_5hz,buffered,total_latency_p50_ms,10,56.772573,56.674360,60.934145,
nominal_5hz,buffered,total_latency_p95_ms,10,57.764581,57.089201,61.523178,
nominal_5hz,buffered,total_latency_p99_ms,10,60.873761,57.549874,61.925663,
nominal_5hz,buffered,valid_trace_rate,10,1.000000,1.000000,1.000000,
nominal_5hz,flush,mean_cpu_percent,10,3.250000,3.165000,3.301667,59.571621
nominal_5hz,flush,peak_rss_mb,10,188.185547,188.074219,188.285156,14.692648
nominal_5hz,flush,can_send_rate_hz,10,5.033333,5.033333,5.033333,0.165831
nominal_5hz,flush,total_latency_p50_ms,10,56.631680,56.604945,56.672705,
nominal_5hz,flush,total_latency_p95_ms,10,57.116663,56.992599,58.012931,
nominal_5hz,flush,total_latency_p99_ms,10,57.717552,57.459418,59.622419,
nominal_5hz,flush,valid_trace_rate,10,1.000000,1.000000,1.000000,
stress_20hz,disabled,mean_cpu_percent,10,4.074583,4.049708,4.224138,0.000000
stress_20hz,disabled,peak_rss_mb,10,164.240234,164.136719,164.468750,0.000000
stress_20hz,disabled,can_send_rate_hz,10,19.766667,19.200000,20.166667,0.000000
stress_20hz,buffered,mean_cpu_percent,10,7.606985,7.207083,7.842857,86.693571
stress_20hz,buffered,peak_rss_mb,10,188.572266,188.414062,188.722656,14.814903
stress_20hz,buffered,can_send_rate_hz,10,20.116667,20.008333,20.125000,1.770658
stress_20hz,buffered,total_latency_p50_ms,10,1.083676,1.036869,1.123910,
stress_20hz,buffered,total_latency_p95_ms,10,1.695800,1.571536,1.830358,
stress_20hz,buffered,total_latency_p99_ms,10,2.230071,1.990726,2.488631,
stress_20hz,buffered,valid_trace_rate,10,1.000000,1.000000,1.000000,
stress_20hz,flush,mean_cpu_percent,10,7.253446,6.918487,7.550833,78.016892
stress_20hz,flush,peak_rss_mb,10,188.230469,188.171875,188.333984,14.606795
stress_20hz,flush,can_send_rate_hz,10,19.583333,18.816667,20.183333,-0.927491
stress_20hz,flush,total_latency_p50_ms,10,1.057920,1.040125,1.127429,
stress_20hz,flush,total_latency_p95_ms,10,1.577336,1.521695,1.698105,
stress_20hz,flush,total_latency_p99_ms,10,2.109351,2.018003,2.282850,
stress_20hz,flush,valid_trace_rate,10,1.000000,1.000000,1.000000,
