trace_id,sequence_id,can_id,ack_can_id,payload_hex,runtime_ack_observed,responder_ack_observed
trace_4255549222043_1,1,0x15B,0x1DB,DED8C80001000000,true,true
trace_4256038046098_2,2,0x15B,0x1DB,DED8C80002000000,true,true
trace_4257035186330_3,3,0x15B,0x1DB,DED8C80003000000,true,true
trace_4258035246111_4,4,0x15B,0x1DB,DED8C80004000000,true,true
trace_4259038481069_5,5,0x15B,0x1DB,DED8C80005000000,true,true
trace_4260038348982_6,6,0x15B,0x1DB,DED8C80006000000,true,true
trace_4261036078478_7,7,0x15B,0x1DB,DED8C80007000000,true,true
trace_4262035272272_8,8,0x15B,0x1DB,DED8C80008000000,true,true
trace_4263035069654_9,9,0x15B,0x1DB,DED8C80009000000,true,true
trace_4264038067503_10,10,0x15B,0x1DB,DED8C8000A000000,true,true
trace_4265034392219_11,11,0x15B,0x1DB,DED8C8000B000000,true,true
trace_4266035087530_12,12,0x15B,0x1DB,DED8C8000C000000,true,true
trace_4267034556216_13,13,0x15B,0x1DB,DED8C8000D000000,true,true
trace_4268034652158_14,14,0x15B,0x1DB,DED8C8000E000000,true,true
trace_4269040803280_15,15,0x15B,0x1DB,DED8C8000F000000,true,true
trace_4270037723180_16,16,0x15B,0x1DB,DED8C80010000000,true,true
trace_4271037764215_17,17,0x15B,0x1DB,DED8C80011000000,true,true
trace_4272034675081_18,18,0x15B,0x1DB,DED8C80012000000,true,true
trace_4273036950251_19,19,0x15B,0x1DB,DED8C80013000000,true,true
trace_4274032957997_20,20,0x15B,0x1DB,DED8C80014000000,true,true
trace_4275032998837_21,21,0x15B,0x1DB,DED8C80015000000,true,true
trace_4276032864221_22,22,0x15B,0x1DB,DED8C80016000000,true,true
trace_4277033083193_23,23,0x15B,0x1DB,DED8C80017000000,true,true
trace_4278032956251_24,24,0x15B,0x1DB,DED8C80018000000,true,true
trace_4279032939979_25,25,0x15B,0x1DB,DED8C80019000000,true,true
trace_4280033039043_26,26,0x15B,0x1DB,DED8C8001A000000,true,true
trace_4281032889445_27,27,0x15B,0x1DB,DED8C8001B000000,true,true
trace_4282033089725_28,28,0x15B,0x1DB,DED8C8001C000000,true,true
trace_4283033051674_29,29,0x15B,0x1DB,DED8C8001D000000,true,true
trace_4284032990544_30,30,0x15B,0x1DB,DED8C8001E000000,true,true
trace_4285033016542_31,31,0x15B,0x1DB,DED8C8001F000000,true,true
trace_4286032990751_32,32,0x15B,0x1DB,DED8C80020000000,true,true
trace_4287033095006_33,33,0x15B,0x1DB,DED8C80021000000,true,true
trace_4288033028805_34,34,0x15B,0x1DB,DED8C80022000000,true,true
