trace_id,sequence_id,event_count,ack_status,retry_count,ack_timeout_count,terminal_event,missing,input_to_planner_ms,planner_process_ms,planner_to_action_ms,action_process_ms,action_to_control_ms,control_process_ms,total_latency_ms,can_send_to_ack_ms,can_send_to_terminal_ms,ack_total_latency_ms,terminal_total_latency_ms
trace_4255549222043_1,1,21,ack_received,0,0,can_ack_received,,1.419752,50.904713,0.380334,100.777424,1.848670,7.346471,167.999874,6.152511,6.152511,174.152385,174.152385
trace_4256038046098_2,2,20,ack_received,0,0,can_ack_received,,1.161961,50.830047,0.180792,100.691466,0.773627,6.319011,163.841785,6.099927,6.099927,169.941712,169.941712
trace_4257035186330_3,3,20,ack_received,0,0,can_ack_received,,1.164002,50.813755,0.182167,100.739925,2.499046,6.734012,166.056789,6.018094,6.018094,172.074883,172.074883
trace_4258035246111_4,4,20,ack_received,0,0,can_ack_received,,1.249043,50.606838,0.174875,100.660259,2.343671,6.593553,164.031244,5.999677,5.999677,170.030921,170.030921
trace_4259038481069_5,5,20,ack_received,0,0,can_ack_received,,1.185419,50.689256,0.172792,100.449592,0.791835,6.296053,161.953450,6.521386,6.521386,168.474836,168.474836
trace_4260038348982_6,6,20,ack_received,0,0,can_ack_received,,1.293961,50.760006,0.165583,100.477259,0.914793,6.275011,162.426159,6.202928,6.202928,168.629087,168.629087
trace_4261036078478_7,7,20,ack_received,0,0,can_ack_received,,1.171127,50.682839,0.192542,100.492509,1.420753,6.048344,162.400035,5.977344,5.977344,168.377379,168.377379
trace_4262035272272_8,8,20,ack_received,0,0,can_ack_received,,1.137252,50.844631,0.156417,100.807552,1.469545,5.849927,164.133747,6.039302,6.039302,170.173049,170.173049
trace_4263035069654_9,9,20,ack_received,0,0,can_ack_received,,1.242252,50.843382,0.173001,100.697761,0.854085,6.277053,163.997289,6.270511,6.270511,170.267800,170.267800
trace_4264038067503_10,10,20,ack_received,0,0,can_ack_received,,1.178585,50.633173,0.153417,100.642261,2.435129,6.701637,164.255623,6.004344,6.004344,170.259967,170.259967
trace_4265034392219_11,11,20,ack_received,0,0,can_ack_received,,1.262419,50.675840,0.169167,100.721970,1.331086,6.096135,163.264997,5.981219,5.981219,169.246216,169.246216
trace_4266035087530_12,12,20,ack_received,0,0,can_ack_received,,1.229794,50.846507,0.204626,100.719220,0.895585,5.729843,163.537873,6.012761,6.012761,169.550634,169.550634
trace_4267034556216_13,13,20,ack_received,0,0,can_ack_received,,1.278086,50.661923,0.187375,100.693678,0.888752,5.752593,162.629830,6.010136,6.010136,168.639966,168.639966
trace_4268034652158_14,14,20,ack_received,0,0,can_ack_received,,1.278669,50.708882,0.171958,100.720804,2.394130,6.608511,164.557292,5.990428,5.990428,170.547720,170.547720
trace_4269040803280_15,15,20,ack_received,0,0,can_ack_received,,1.193002,50.583590,0.149791,100.519554,1.413294,6.273261,162.609956,5.941511,5.941511,168.551467,168.551467
trace_4270037723180_16,16,20,ack_received,0,0,can_ack_received,,1.279544,50.703757,0.176417,100.569179,2.415088,6.246970,163.869585,6.112552,6.112552,169.982137,169.982137
trace_4271037764215_17,17,20,ack_received,0,0,can_ack_received,,1.189794,50.634465,0.154834,100.446804,0.861710,5.829927,161.580622,5.978511,5.978511,167.559133,167.559133
trace_4272034675081_18,18,20,ack_received,0,0,can_ack_received,,1.382252,50.670965,0.195375,100.723722,2.368671,6.761304,165.909797,6.089427,6.089427,171.999224,171.999224
trace_4273036950251_19,19,20,ack_received,0,0,can_ack_received,,1.160627,50.769841,0.200458,100.606222,1.275544,5.935927,162.507083,6.127428,6.127428,168.634511,168.634511
trace_4274032957997_20,20,20,ack_received,0,0,can_ack_received,,1.165793,50.819383,0.185583,100.693473,1.100210,5.820136,162.737584,6.026594,6.026594,168.764178,168.764178
trace_4275032998837_21,21,20,ack_received,0,0,can_ack_received,,1.191627,50.781675,0.123083,100.641306,1.110877,5.855386,162.652043,6.067886,6.067886,168.719929,168.719929
trace_4276032864221_22,22,20,ack_received,0,0,can_ack_received,,1.144210,50.747466,0.123251,100.701390,1.139044,5.885469,162.620460,5.975469,5.975469,168.595929,168.595929
trace_4277033083193_23,23,20,ack_received,0,0,can_ack_received,,1.223961,50.930258,0.166501,100.687557,1.186461,5.900510,163.145503,6.038761,6.038761,169.184264,169.184264
trace_4278032956251_24,24,20,ack_received,0,0,can_ack_received,,1.294544,50.994717,0.166834,100.654058,1.183085,5.842219,163.089670,6.023761,6.023761,169.113431,169.113431
trace_4279032939979_25,25,20,ack_received,0,0,can_ack_received,,1.239085,50.989551,0.175751,100.674558,1.312961,5.894094,163.564005,6.006927,6.006927,169.570932,169.570932
trace_4280033039043_26,26,20,ack_received,0,0,can_ack_received,,1.129794,50.738592,0.197167,100.779100,1.233210,5.917719,162.904046,6.220428,6.220428,169.124474,169.124474
trace_4281032889445_27,27,20,ack_received,0,0,can_ack_received,,1.167127,50.813175,0.188209,100.722267,1.283710,5.911094,162.930171,6.188928,6.188928,169.119099,169.119099
trace_4282033089725_28,28,20,ack_received,0,0,can_ack_received,,1.140002,50.899343,2.843338,100.823600,3.025173,6.287344,168.299432,5.872344,5.872344,174.171776,174.171776
trace_4283033051674_29,29,20,ack_received,0,0,can_ack_received,,1.180127,50.897052,-0.006667,100.668100,1.277211,6.106511,163.630132,6.066053,6.066053,169.696185,169.696185
trace_4284032990544_30,30,20,ack_received,0,0,can_ack_received,,1.467044,50.923135,0.163417,100.729060,1.264877,6.031428,164.258051,6.080594,6.080594,170.338645,170.338645
trace_4285033016542_31,31,20,ack_received,0,0,can_ack_received,,1.207335,51.029260,0.003708,100.753143,1.328377,6.090386,164.418676,6.148387,6.148387,170.567063,170.567063
trace_4286032990751_32,32,20,ack_received,0,0,can_ack_received,,1.612294,50.947427,0.149584,100.735018,1.179752,6.138387,164.221760,6.012386,6.012386,170.234146,170.234146
trace_4287033095006_33,33,20,ack_received,0,0,can_ack_received,,1.421086,50.956177,0.158250,100.758727,1.298461,6.007761,164.166969,6.058845,6.058845,170.225814,170.225814
trace_4288033028805_34,34,20,ack_received,0,0,can_ack_received,,1.337544,50.839011,-0.048042,100.716311,1.324544,5.929302,163.905469,6.038303,6.038303,169.943772,169.943772
